gene,k,logFC,SE,z,P,FDR,I2,tau2,Q,direction
MGAT3,2,-1.16,0.07,-16.61,6.28928410559757e-62,1.00839624402694e-59,0,0,0.49,down
AQP9,3,-2.631,0.159,-16.52,2.85794206622299e-61,4.55112692708939e-59,36.7,0.0297,3.16,down
NPY4R,2,-2.115,0.128,-16.51,3.08936321096121e-61,4.88641239225615e-59,0,0,0.02,down
FST,3,-1.109,0.067,-16.5,3.62308074971276e-61,5.69212733355879e-59,0,0,0.05,down
PTPN22,3,1.388,0.084,16.49,4.36258454364816e-61,6.80824943881733e-59,0,0,1.9,up
RP11-797H7.1,2,-1.645,0.1,-16.48,5.44434013815926e-61,8.44016942345498e-59,0,0,0.69,down
PSMB8-AS1,3,1.002,0.061,16.47,5.91193464770972e-61,9.10476830054189e-59,24.3,0.0032,2.64,up
NCBP2L,2,-1.652,0.1,-16.45,8.40426196596926e-61,1.2858520807933e-58,0,0,0.34,down
C5orf56,3,0.933,0.057,16.45,8.96833619891566e-61,1.36324533818452e-58,0,0,0.4,up
DEFB4B,2,9.769,0.594,16.43,1.07466603779426e-60,1.62302305024037e-58,0,0,0.01,up
GPR183,2,1.04,0.064,16.36,3.79206379018015e-60,5.69028341437995e-58,0,0,0.09,up
LDB3,2,-1.39,0.085,-16.33,5.79713062507815e-60,8.64363253518818e-58,0,0,0.48,down
HSPB2-C11orf52,3,-1.261,0.077,-16.31,7.96911360053809e-60,1.18068974857593e-57,22.9,0.0046,2.59,down
AC005162.5,2,3.203,0.197,16.29,1.20581520646721e-59,1.77527850114408e-57,0,0,0.32,up
CD7,2,2.069,0.127,16.27,1.56203892567777e-59,2.28536057569943e-57,0,0,0.01,up
ANKS6,3,-0.659,0.04,-16.26,1.84250883856943e-59,2.67896207466284e-57,0,0,1.24,down
SHF,3,-1.032,0.064,-16.24,2.84762517249206e-59,4.11481837425103e-57,0,0,0.34,down
CCL3,2,3.344,0.206,16.22,3.8113116979894e-59,5.4735580084806e-57,0,0,0.93,up
TSPEAR,2,-1.856,0.115,-16.2,4.86133958590866e-59,6.93896941259365e-57,0,0,0.72,down
CNN1,2,-1.904,0.118,-16.16,9.81990544593804e-59,1.39317676717554e-56,0,0,0.22,down
PML,3,0.805,0.05,16.13,1.51904310793644e-58,2.13065038062552e-56,0,0,0.57,up
CA9,3,-2.219,0.138,-16.13,1.52000774729575e-58,2.13065038062552e-56,0,0,1.14,down
LINGO4,2,-2.641,0.164,-16.12,1.74383627945356e-58,2.42984901581717e-56,0,0,0.01,down
SPATS2,3,-0.479,0.03,-16.12,1.86046437704504e-58,2.5770183788312e-56,0,0,0.25,down
CPNE9,2,-2.411,0.15,-16.11,2.16059334424942e-58,2.97513703503146e-56,0.4,3e-04,1,down
NLGN3,2,-1.16,0.072,-16.1,2.5365128229787e-58,3.47235255398295e-56,0,0,0.03,down
PDCD1,2,2.354,0.146,16.08,3.65000054643916e-58,4.96760830183688e-56,0,0,0.75,up
DHRS9,3,1.87,0.116,16.06,5.12467803146386e-58,6.93431144731431e-56,0,0,1.14,up
SGCA,2,-1.965,0.123,-16.04,7.19513693001768e-58,9.67994025257379e-56,0,0,0.86,down
TMPRSS11A,2,5.886,0.367,16.03,8.10560151946072e-58,1.08425157696603e-55,21.9,0.0897,1.28,up
RNASE7,3,1.331,0.083,16.01,1.14471654712508e-57,1.52253804838926e-55,0,0,1.39,up
CBS,3,-1.195,0.075,-16,1.35695854577666e-57,1.79463517503309e-55,0,0,0.01,down
RP11-307B6.3,2,-1.476,0.092,-15.98,1.82341868546321e-57,2.3980004498881e-55,0,0,0.09,down
BCL3,3,1.298,0.081,15.97,1.92088181164447e-57,2.51206269993215e-55,0,0,1.85,up
HSPA2,3,-0.984,0.062,-15.94,3.60193637446836e-57,4.68431825499611e-55,0,0,1.97,down
SPRR2E,3,4.239,0.266,15.91,5.19275893073676e-57,6.71587258616668e-55,56.7,0.1073,4.62,up
CACNA2D3,2,1.128,0.071,15.91,5.46547698397817e-57,7.02974454494203e-55,0,0,0.35,up
FRG2HP,2,-1.909,0.12,-15.89,6.88597245872498e-57,8.80840050744771e-55,0,0,0.2,down
PRR15L,2,-1.745,0.11,-15.82,2.11968955938453e-56,2.69672896171916e-54,0,0,0.7,down
RP11-141M3.6,2,1.076,0.068,15.78,4.06150116118578e-56,5.13922598282151e-54,0,0,0.09,up
B4GALT4,3,-0.568,0.036,-15.75,6.68904067214495e-56,8.41848134915275e-54,10,6e-04,2.22,down
FABP5P7,3,3.457,0.22,15.74,7.89402168770665e-56,9.88187987633824e-54,80.8,0.0891,10.4,up
AF001548.6,2,-1.939,0.123,-15.71,1.37503294180067e-55,1.71213543269212e-53,0,0,0.01,down
DES,2,-2.501,0.16,-15.65,3.07610062373077e-55,3.80997034396368e-53,0,0,0.51,down
